Year,Mth,Month,Facility Reference Number,Licence Holder,Zone,FH_Zone,Site_Name,Latitude,Longitude,Sample Type,Date,Leps_mot,Leps_AF,Chalimus,Cali_mot,Counts_Pens,Prop_AF,Year Class
2011,1,January,1148,Mainstream Canada,Clayoquot Sound,2.3,Binns Island,49.34182,-125.95328,Routine monitoring,05-Jan-11,0.03,0,0.05,0,2,0,2
2011,4,April,543,Mainstream Canada,Clayoquot Sound,2.3,Mussel Rock,49.25925,-125.86762,Routine monitoring,02-Apr-11,0.05,0,0.15,0,2,0,1
2014,9,September,227,Cermaq Canada,Clayoquot Sound,2.3,Bawden,49.30798,-126.00721,Routine monitoring,05-Sep-14,0.18,0,0,0,2,0,2
2018,1,January,520,Cermaq Canada,Clayoquot Sound,2.3,Bedwell,49.26548,-125.81247,Routine monitoring,18-Jan-18,0.03,0,0.07,0.02,2,0,1
2019,4,April,314,Cermaq Canada,Clayoquot Sound,2.3,Ross Pass,49.32437,-126.04849,Routine monitoring,10-Apr-19,0.07,0,0.12,0.04,2,0,1
2019,5,May,527,Cermaq Canada,Clayoquot Sound,2.3,Saranac Island,49.24803,-125.90671,Routine monitoring,29-May-19,0.19,0,0.09,0,2,0,1
2020,11,November,1507,Cermaq Canada,Clayoquot Sound,2.3,Millar Channel,-126.09003,49.37622,Routine monitoring,25-Nov-20,0.08,0,0.08,0.23,2,0,1
2020,12,December,1507,Cermaq Canada,Clayoquot Sound,2.3,Millar Channel,-126.09003,49.37622,Routine monitoring,16-Dec-20,0.03,0,0.1,0,2,0,1
2020,12,December,1507,Cermaq Canada,Clayoquot Sound,2.3,Millar Channel,-126.09003,49.37622,Routine monitoring,20-Dec-20,0.15,0,0.03,0.45,2,0,1
2021,1,January,1507,Cermaq Canada,Clayoquot Sound,2.3,Millar Channel,-126.09003,49.37622,Routine monitoring,15-Jan-21,0.18,0,0.4,0.85,2,0,1
2021,1,January,1507,Cermaq Canada,Clayoquot Sound,2.3,Millar Channel,-126.09003,49.37622,Routine monitoring,18-Jan-21,0.3,0,0.08,1.03,2,0,1
2021,5,May,1507,Cermaq Canada,Clayoquot Sound,2.3,Millar Channel,-126.09003,49.37622,Routine monitoring,04-May-21,0.2,0,1.4,0.98,2,0,1
2011,5,May,137,Grieg Seafood BC,Discovery Passage,3.2,Conville Bay,50.18057,-125.14933,Routine monitoring,08-May-11,0.03,0,0.2,0,2,0,1
2014,9,September,1401,Cermaq Canada,Discovery Passage,3.2,Brent Island,50.28613,-125.34917,Follow-up,05-Sep-14,0.1,0,0,0.1,2,0,2
